"","row","species","sp","site","era","date","nest1","nest2","nest3","nest3note","sampleUnit","size1mm","habitat","tideHTm","lat","long","Shaw_hab","notes","notes2","year"
"99",99,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area2",NA,NA,"zoneA_area2",11.7,"bare rock","8","36.62183N","121.90516W","","","",2014
"100",100,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area2",NA,NA,"zoneA_area2",12.5,"bare rock","8","36.62183N","121.90516W","","","",2014
"101",101,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area2",NA,NA,"zoneA_area2",13.3,"bare rock","8","36.62183N","121.90516W","","","",2014
"102",102,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area2",NA,NA,"zoneA_area2",8.7,"bare rock","8","36.62183N","121.90516W","","","",2014
"103",103,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area2",NA,NA,"zoneA_area2",11.8,"bare rock","8","36.62183N","121.90516W","","","",2014
"104",104,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area2",NA,NA,"zoneA_area2",13.5,"bare rock","8","36.62183N","121.90516W","","","",2014
"105",105,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area2",NA,NA,"zoneA_area2",13.6,"bare rock","8","36.62183N","121.90516W","","","",2014
"106",106,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area2",NA,NA,"zoneA_area2",8.2,"bare rock","8","36.62183N","121.90516W","","","",2014
"107",107,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area2",NA,NA,"zoneA_area2",9.9,"bare rock","8","36.62183N","121.90516W","","","",2014
"108",108,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area2",NA,NA,"zoneA_area2",5.1,"bare rock","8","36.62183N","121.90516W","","","",2014
