"","point_estimate","upper_ci","param","quant","sp"
"30",1.00023013566371,1.000623610444,"sigma",0.4,"CHFU"
"31",1.00015546588603,1.00076000115673,"beta0",0.5,"CHFU"
"32",1.00003325227517,1.00023767858558,"beta1",0.5,"CHFU"
"33",1.00035542206102,1.00163194300378,"beta2",0.5,"CHFU"
"34",1.00041808139143,1.00111348976764,"beta3",0.5,"CHFU"
"35",1.00015388994109,1.00059539001623,"sigma",0.5,"CHFU"
"36",1.00334961248895,1.01181710936947,"beta0",0,"CHFU_means"
"37",1.00339624928666,1.01116711312785,"beta1",0,"CHFU_means"
"38",1.00130751189404,1.00427806564195,"beta2",0,"CHFU_means"
"39",1.00191067515596,1.00602384147543,"beta3",0,"CHFU_means"
"40",1.00037797390222,1.00127811783375,"sigma",0,"CHFU_means"
"41",1.00054343892419,1.00145692019216,"beta0",0.05,"CHFU_means"
"42",1.00004808269707,1.00015551266296,"beta1",0.05,"CHFU_means"
"43",1.00015837646885,1.00091735241164,"beta2",0.05,"CHFU_means"
"44",1.00061626414707,1.00219004421928,"beta3",0.05,"CHFU_means"
"45",0.999892490772753,1.00001464115335,"sigma",0.05,"CHFU_means"
"46",1.00024623808184,1.00076937430703,"beta0",0.1,"CHFU_means"
"47",1.00015290105124,1.00090060574922,"beta1",0.1,"CHFU_means"
"48",1.00036129971958,1.00096766513305,"beta2",0.1,"CHFU_means"
"49",0.999908314188831,1.00009174177399,"beta3",0.1,"CHFU_means"
"50",1.0003688459791,1.00122432872638,"sigma",0.1,"CHFU_means"
"51",1.00012129521432,1.00060888389073,"beta0",0.2,"CHFU_means"
"52",0.999951529187681,1.000043355491,"beta1",0.2,"CHFU_means"
"53",0.999963274703738,1.00024863353786,"beta2",0.2,"CHFU_means"
"54",0.999958053004571,1.00015114481327,"beta3",0.2,"CHFU_means"
"55",1.00039557260424,1.00123165922236,"sigma",0.2,"CHFU_means"
"56",1.00138764442532,1.00516890832212,"beta0",0.3,"CHFU_means"
"57",1.00078226892093,1.00266208085912,"beta1",0.3,"CHFU_means"
"58",1.00159716642213,1.00598154086871,"beta2",0.3,"CHFU_means"
"59",1.000437837599,1.00051057486445,"beta3",0.3,"CHFU_means"
"60",1.00250621999304,1.00599815014852,"sigma",0.3,"CHFU_means"
"61",1.000928559824,1.00094942766199,"beta0",0.4,"CHFU_means"
"62",1.95355950037604,4.40696394747919,"beta1",0.4,"CHFU_means"
"63",1.00252465756534,1.00314322433546,"beta2",0.4,"CHFU_means"
"64",1.953578762155,4.40618572500592,"beta3",0.4,"CHFU_means"
"65",1.02166261188604,1.05875360792726,"sigma",0.4,"CHFU_means"
"66",1.12695847068303,1.12885096347028,"beta0",0.5,"CHFU_means"
"67",4.80202995015253,20.9339726777232,"beta1",0.5,"CHFU_means"
"68",1.13243714743135,1.13322141423407,"beta2",0.5,"CHFU_means"
