Date,Roy2003,Fisher2009,Elahi2015
1899-01-16,14.45042801,3.84748745,
1899-02-15,13.96071815,2.847957134,
1899-03-16,13.66489601,2.553958178,
1899-04-16,14.08682823,3.52266264,
1899-05-16,14.78829479,6.075936317,
1899-06-16,15.85278702,10.06290054,
1899-07-16,17.37065506,13.44852924,
1899-08-16,18.83185577,14.98971748,
1899-09-16,19.14434242,13.08239174,
1899-10-16,18.10480118,10.63884449,
1899-11-16,17.42560577,8.09646225,
1899-12-16,16.10185432,5.281959057,
1/16/00,15.04342747,4.113362312,
2/15/00,15.16571999,3.548082113,
3/16/00,14.76789665,2.80845809,
4/16/00,15.9858284,3.804287672,
5/16/00,15.96629524,6.297186852,
6/16/00,16.89478683,9.923151016,
7/16/00,18.46165466,13.3771534,
8/16/00,19.69785309,14.64052773,
9/16/00,19.84334183,13.77964211,
10/16/00,18.71380043,11.27121925,
11/16/00,17.01360512,8.641088486,
12/16/00,16.16585541,5.702459335,
1/16/01,14.46942806,4.757862568,
2/15/01,14.3687191,3.636831999,
3/16/01,14.26489639,2.47620821,
4/16/01,15.3068285,3.729912519,
5/16/01,15.50329494,6.607437134,
6/16/01,16.2047863,10.21377563,
7/16/01,17.62465668,13.46652794,
8/16/01,19.0558548,14.93390274,
9/16/01,18.64334106,14.45526791,
10/16/01,17.93180084,11.06146908,
11/16/01,16.26360512,7.802837849,
12/16/01,14.7918539,5.389208794,
1/16/02,13.74842739,3.96536231,
2/15/02,14.06971931,2.965081692,
3/16/02,14.47089577,2.88808322,
4/16/02,15.09982872,3.558412552,
5/16/02,15.90129471,5.856811523,
6/16/02,16.77778625,8.414525032,
7/16/02,19.48865509,12.08340359,
8/16/02,19.1448555,13.63215256,
9/16/02,19.10134125,13.09139252,
10/16/02,18.35180092,10.25484467,
11/16/02,16.98260498,8.44021225,
12/16/02,15.54685402,5.501833916,
1/16/03,14.23742771,4.097612381,
2/15/03,13.99671936,3.689207077,
3/16/03,14.18889618,3.978208303,
4/16/03,14.35782814,4.619912624,
5/16/03,14.87129498,7.570937157,
6/16/03,15.56178665,9.655900002,
7/16/03,17.02265549,13.49227905,
8/16/03,18.04085541,13.91927814,
9/16/03,18.71134186,13.12589264,
10/16/03,18.03079987,11.3762188,
11/16/03,16.52960587,8.853962898,
12/16/03,15.09085369,5.837334633,
1/16/04,14.52242756,4.126362801,
2/15/04,13.61471939,3.174957037,
3/16/04,13.87289619,2.503083229,
4/16/04,14.74982834,3.873787642,
5/16/04,15.09829521,7.75143671,
6/16/04,15.6877861,10.53290081,
7/16/04,17.51765823,14.05515385,
8/16/04,19.09685516,14.72815323,
9/16/04,19.8012352,13.78364182,
10/16/04,18.05579948,10.67759514,
11/16/04,17.18660545,8.012838364,
12/16/04,15.80985451,5.490709305,
1/16/05,15.04842758,3.836362362,
2/15/05,15.02871895,2.429581881,
3/16/05,14.97789669,2.984583139,
4/16/05,15.66082859,3.727787733,
5/16/05,15.26029491,6.747686863,
6/16/05,16.58078575,9.916275024,
7/16/05,17.85365677,13.38227844,
8/16/05,19.23885345,13.92365265,
9/16/05,18.28834152,12.58476734,
10/16/05,17.44146347,10.17821884,
11/16/05,16.40483475,7.623962879,
12/16/05,15.13085365,5.551959038,
1/16/06,14.50842762,3.631612539,
2/15/06,14.01471901,3.491456985,
3/16/06,14.30789661,2.029208183,
4/16/06,15.18382835,3.642287493,
5/16/06,15.16629505,6.349186897,
6/16/06,15.35234261,9.461900711,
7/16/06,16.75661087,13.10415363,
8/16/06,18.2177124,16.4267292,
9/16/06,18.00234222,13.59439278,
10/16/06,18.09379959,11.65584469,
11/16/06,15.80760574,8.039712906,
12/16/06,14.65985394,5.810084343,
1/16/07,13.16869068,4.56898737,
2/15/07,13.76471901,3.1839571,
3/16/07,13.42689705,2.949333191,
4/16/07,14.17982864,3.586912632,
5/16/07,14.45329475,6.208686829,
6/16/07,15.6568203,9.029399872,
7/16/07,16.67665482,12.81652832,
8/16/07,17.76355362,14.04127789,
9/16/07,18.43334198,13.21764183,
10/16/07,17.29380035,9.98809433,
11/16/07,16.20360565,7.824838161,
12/16/07,14.90485382,5.539834023,
1/16/08,14.38442802,3.486862183,
2/15/08,13.9937191,2.975707054,
3/16/08,14.34789658,2.775333405,
4/16/08,14.32882881,3.297537804,
5/16/08,13.87968922,6.333312035,
6/16/08,14.73111534,10.02065086,
7/16/08,16.08870316,14.15553474,
8/16/08,17.90113449,14.90686607,
9/16/08,17.16470146,13.18434715,
10/16/08,17.33880043,11.18797016,
11/16/08,15.62185478,8.117837906,
12/16/08,14.71885395,6.05983448,
1/16/09,13.60542774,4.941737652,
2/15/09,13.11971855,3.341832161,
3/16/09,13.11089706,2.646958113,
4/16/09,14.0408287,3.959662437,
5/16/09,14.34829521,6.336936951,
6/16/09,14.80244255,9.775526047,
7/16/09,15.69865608,12.84065342,
8/16/09,17.10840988,15.07216835,
9/16/09,17.39834213,13.2368927,
10/16/09,17.01012039,10.99496937,
11/16/09,15.08477402,7.721713066,
12/16/09,13.75285435,5.272553444,
1/16/10,12.86042786,4.50836277,
2/15/10,12.86571884,3.133197546,
3/16/10,13.29589653,3.117978573,
4/16/10,13.90182877,4.353912354,
5/16/10,14.44166756,6.741686821,
6/16/10,14.65378571,11.39412785,
7/16/10,16.30771637,15.62942314,
8/16/10,16.99141693,15.23784924,
9/16/10,17.79534149,13.2912674,
10/16/10,17.21478271,10.94796944,
11/16/10,15.26760483,7.962838173,
12/16/10,14.862854,5.041334152,
1/16/11,13.38242722,4.202862263,
2/15/11,13.60271835,2.493484735,
3/16/11,13.35989571,2.164343357,
4/16/11,14.018116,3.414787531,
5/16/11,14.19178391,7.344352245,
6/16/11,14.5627861,10.9651947,
7/16/11,15.84533501,13.81477833,
8/16/11,18.66867065,15.09438705,
9/16/11,19.19212151,13.57164192,
10/16/11,18.14696312,10.65822029,
11/16/11,16.791605,7.950855255,
12/16/11,15.41285419,6.342378139,
1/16/12,14.13242722,3.680310965,
2/15/12,14.9197197,2.26898098,
3/16/12,14.5018959,2.934446335,
4/16/12,14.19293404,4.153650761,
5/16/12,14.63129425,6.516436577,
6/16/12,15.84121513,10.81249332,
7/16/12,17.1516571,15.08339596,
8/16/12,16.76845169,14.43468094,
9/16/12,17.18054199,13.08214188,
10/16/12,17.14646912,11.29001331,
11/16/12,15.10592461,8.536088943,
12/16/12,14.44665146,6.166508675,
1/16/13,13.18642807,4.716737747,
2/15/13,13.48871994,3.483806372,
3/16/13,13.18489647,2.670708179,
4/16/13,13.0408287,4.227425575,
5/16/13,14.37029457,6.354512215,
6/16/13,15.71778679,10.10219097,
7/16/13,16.79265594,14.61734581,
8/16/13,18.49785614,16.90196228,
9/16/13,18.39934158,13.4949255,
10/16/13,17.98579979,12.00248909,
11/16/13,16.31460571,8.558712959,
12/16/13,15.16385365,6.431388855,
1/16/14,14.03242779,4.434099197,
2/15/14,13.84371948,2.848541737,
3/16/14,13.90689659,2.527678967,
4/16/14,14.94882774,4.205249786,
5/16/14,14.57029438,6.714582443,
6/16/14,15.0627861,10.77552795,
7/16/14,17.20165634,13.59472466,
8/16/14,18.68585587,14.07652855,
9/16/14,19.09434128,12.84501743,
10/16/14,18.90480042,10.79309464,
11/16/14,17.40060616,8.44233799,
12/16/14,15.85885429,5.66183424,
1/16/15,15.27442741,4.190487385,
2/15/15,14.96871948,3.094332218,
3/16/15,14.81689644,2.852958202,
4/16/15,14.71282768,3.681287766,
5/16/15,15.59029484,6.303812027,
6/16/15,16.83978653,10.03177547,
7/16/15,17.62865829,13.11702919,
8/16/15,18.47685623,14.40890312,
9/16/15,18.35534096,13.23439217,
10/16/15,17.28479958,10.65384483,
11/16/15,15.67660522,7.921463013,
12/16/15,14.24085426,5.456083775,
1/16/16,13.71342754,3.796112299,
2/15/16,13.75971985,2.54458189,
3/16/16,13.71889687,1.821208119,
4/16/16,14.36282921,2.566162586,
