"","row","species","sp","site","era","date","nest1","nest2","nest3","nest3note","sampleUnit","size1mm","habitat","tideHTm","lat","long","Shaw_hab","notes","notes2","year"
"58",58,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",13,NA,6,"36.62192N","121.90527W",NA,"","",1950
"59",59,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",13,NA,6,"36.62192N","121.90527W",NA,"","",1950
"60",60,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",13,NA,6,"36.62192N","121.90527W",NA,"","",1950
"61",61,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",13,NA,6,"36.62192N","121.90527W",NA,"","",1950
"62",62,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",13,NA,6,"36.62192N","121.90527W",NA,"","",1950
"63",63,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",13,NA,6,"36.62192N","121.90527W",NA,"","",1950
"64",64,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",13.1,NA,6,"36.62192N","121.90527W",NA,"","",1950
"65",65,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",13.1,NA,6,"36.62192N","121.90527W",NA,"","",1950
"66",66,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",13.1,NA,6,"36.62192N","121.90527W",NA,"","",1950
"67",67,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",13.1,NA,6,"36.62192N","121.90527W",NA,"","",1950
"68",68,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",13.2,NA,6,"36.62192N","121.90527W",NA,"","",1950
"69",69,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",13.3,NA,6,"36.62192N","121.90527W",NA,"","",1950
"70",70,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",13.3,NA,6,"36.62192N","121.90527W",NA,"","",1950
"71",71,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",13.7,NA,6,"36.62192N","121.90527W",NA,"","",1950
"72",72,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",13.7,NA,6,"36.62192N","121.90527W",NA,"","",1950
"73",73,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",13.8,NA,6,"36.62192N","121.90527W",NA,"","",1950
"74",74,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",14,NA,6,"36.62192N","121.90527W",NA,"","",1950
"75",75,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",14,NA,6,"36.62192N","121.90527W",NA,"","",1950
"76",76,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",14,NA,6,"36.62192N","121.90527W",NA,"","",1950
"77",77,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",14,NA,6,"36.62192N","121.90527W",NA,"","",1950
"78",78,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",15.8,NA,6,"36.62192N","121.90527W",NA,"","",1950
"79",79,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",17.2,NA,6,"36.62192N","121.90527W",NA,"","",1950
"80",80,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone3",NA,NA,NA,"3x2ft_rect",9,NA,4.5,"36.62192N","121.90527W",NA,"","",1950
"81",81,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone3",NA,NA,NA,"3x2ft_rect",10,NA,4.5,"36.62192N","121.90527W",NA,"","",1950
"82",82,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone3",NA,NA,NA,"3x2ft_rect",10.1,NA,4.5,"36.62192N","121.90527W",NA,"","",1950
"83",83,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone3",NA,NA,NA,"3x2ft_rect",10.9,NA,4.5,"36.62192N","121.90527W",NA,"","",1950
"84",84,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone3",NA,NA,NA,"3x2ft_rect",11,NA,4.5,"36.62192N","121.90527W",NA,"","",1950
"85",85,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone3",NA,NA,NA,"3x2ft_rect",11,NA,4.5,"36.62192N","121.90527W",NA,"","",1950
"86",86,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone3",NA,NA,NA,"3x2ft_rect",11,NA,4.5,"36.62192N","121.90527W",NA,"","",1950
"87",87,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone3",NA,NA,NA,"3x2ft_rect",11,NA,4.5,"36.62192N","121.90527W",NA,"","",1950
"88",88,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone3",NA,NA,NA,"3x2ft_rect",11.1,NA,4.5,"36.62192N","121.90527W",NA,"","",1950
"89",89,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone3",NA,NA,NA,"3x2ft_rect",11.7,NA,4.5,"36.62192N","121.90527W",NA,"","",1950
"90",90,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone3",NA,NA,NA,"3x2ft_rect",11.8,NA,4.5,"36.62192N","121.90527W",NA,"","",1950
"91",91,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone3",NA,NA,NA,"3x2ft_rect",11.9,NA,4.5,"36.62192N","121.90527W",NA,"","",1950
"92",92,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone3",NA,NA,NA,"3x2ft_rect",12.6,NA,4.5,"36.62192N","121.90527W",NA,"","",1950
"93",93,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone3",NA,NA,NA,"3x2ft_rect",12.9,NA,4.5,"36.62192N","121.90527W",NA,"","",1950
"94",94,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone3",NA,NA,NA,"3x2ft_rect",13,NA,4.5,"36.62192N","121.90527W",NA,"","",1950
"95",95,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone3",NA,NA,NA,"3x2ft_rect",13,NA,4.5,"36.62192N","121.90527W",NA,"","",1950
"96",96,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone3",NA,NA,NA,"3x2ft_rect",13.2,NA,4.5,"36.62192N","121.90527W",NA,"","",1950
"97",97,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone3",NA,NA,NA,"3x2ft_rect",13.3,NA,4.5,"36.62192N","121.90527W",NA,"","",1950
"98",98,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone3",NA,NA,NA,"3x2ft_rect",13.6,NA,4.5,"36.62192N","121.90527W",NA,"","",1950
"99",99,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone3",NA,NA,NA,"3x2ft_rect",13.7,NA,4.5,"36.62192N","121.90527W",NA,"","",1950
"100",100,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone3",NA,NA,NA,"3x2ft_rect",13.8,NA,4.5,"36.62192N","121.90527W",NA,"","",1950
"101",101,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone3",NA,NA,NA,"3x2ft_rect",13.9,NA,4.5,"36.62192N","121.90527W",NA,"","",1950
