"","size1mm","year","breeding","population","province","figure"
"180",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"181",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"182",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"183",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"184",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"185",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"186",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"187",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"188",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"189",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"190",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"191",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"192",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"193",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"194",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"195",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"196",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"197",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"198",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"199",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"200",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"201",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"202",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"203",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"204",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
