"","study","studySub","species","sp","site","era","date","nest1","nest2","nest3","nest3note","sampleUnit","size1mm","size1mm_rand","habitat","tideHTm","lat","long","Shaw_hab","notes","notes2","year"
"93","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"94","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"95","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"96","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"97","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"98","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"99","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"100","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"101","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"102","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"103","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"104","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"105","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"106","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"107","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"108","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"109","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"110","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"111","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"112","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"113","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"114","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"115","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"116","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"117","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"118","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"119","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"120","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"121","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"122","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"123","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"124","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"125","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"126","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"127","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"128","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"129","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"130","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"131","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"132","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"133","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"134","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"135","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"136","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
